srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label,source_file
10.0.2.6,54386,10.0.2.9,161,udp,1.1612327220000225,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,42982,udp,1.7578823150000744,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,59078,10.0.2.9,161,udp,4.629153639999913,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,50937,udp,4.136242075000041,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,37641,udp,1.4235453630000166,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,52549,udp,1.6074225040000556,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,47233,10.0.2.9,161,udp,1.4211329849999856,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,44634,10.0.2.9,161,udp,3.456314556999928,179070,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,45421,udp,1.0006939469999452,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,49006,udp,2.870901779999997,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,50371,10.0.2.9,161,udp,1.1594563899999455,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,53956,10.0.2.9,161,udp,1.1989612220000367,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,60257,10.0.2.9,161,udp,1.9407271169999376,179159,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,55963,10.0.2.9,161,udp,1.2030738469999278,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,60170,10.0.2.9,161,udp,1.6232229260000397,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,55975,10.0.2.9,161,udp,1.4442055119999964,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,47068,udp,4.032961553999996,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,39135,udp,1.3761811749999993,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,56496,udp,1.6540475060000404,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,47823,udp,1.2814104699999689,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
